,Country,Year,LPI_Score,LPI_Score_Interpolated
543,Equatorial Guinea,2018,2.317643,2.317643
544,Equatorial Guinea,2019,,2.317643
545,Equatorial Guinea,2020,,2.317643
546,Equatorial Guinea,2021,,2.317643
547,Equatorial Guinea,2022,,2.317643
548,Equatorial Guinea,2023,,2.317643
549,Equatorial Guinea,2024,,2.317643
550,Eritrea,2015,,2.171842
551,Eritrea,2016,2.171842,2.171842
552,Eritrea,2017,,2.129492
553,Eritrea,2018,2.087142,2.087142
554,Eritrea,2019,,2.087142
555,Eritrea,2020,,2.087142
556,Eritrea,2021,,2.087142
557,Eritrea,2022,,2.087142
558,Eritrea,2023,,2.087142
559,Eritrea,2024,,2.087142
560,Estonia,2015,,3.363489
561,Estonia,2016,3.363489,3.363489
562,Estonia,2017,,3.337551
563,Estonia,2018,3.311613,3.311613
564,Estonia,2019,,3.3692904
565,Estonia,2020,,3.4269678
566,Estonia,2021,,3.4846452
567,Estonia,2022,,3.5423226
568,Estonia,2023,3.6,3.6
569,Estonia,2024,,3.6
570,Ethiopia,2015,,2.376767
571,Ethiopia,2016,2.376767,2.376767
572,Ethiopia,2017,,2.376767
573,Ethiopia,2018,,2.376767
574,Ethiopia,2019,,2.376767
575,Ethiopia,2020,,2.376767
576,Ethiopia,2021,,2.376767
577,Ethiopia,2022,,2.376767
578,Ethiopia,2023,,2.376767
579,Ethiopia,2024,,2.376767
580,Fiji,2015,,2.316186
581,Fiji,2016,2.316186,2.316186
582,Fiji,2017,,2.3339565
583,Fiji,2018,2.351727,2.351727
584,Fiji,2019,,2.3413816
585,Fiji,2020,,2.3310362
586,Fiji,2021,,2.3206908
587,Fiji,2022,,2.3103454
588,Fiji,2023,2.3,2.3
589,Fiji,2024,,2.3
590,Finland,2015,,3.920745
591,Finland,2016,3.920745,3.920745
592,Finland,2017,,3.9449465
593,Finland,2018,3.969148,3.969148
594,Finland,2019,,4.0153184
595,Finland,2020,,4.0614888
596,Finland,2021,,4.1076592
597,Finland,2022,,4.1538296
598,Finland,2023,4.2,4.2
599,Finland,2024,,4.2
600,France,2015,,3.900953
601,France,2016,3.900953,3.900953
602,France,2017,,3.872714
603,France,2018,3.844475,3.844475
604,France,2019,,3.85558
605,France,2020,,3.866685
606,France,2021,,3.87779
607,France,2022,,3.888895
608,France,2023,3.9,3.9
609,France,2024,,3.9
610,Gabon,2015,,2.19165
611,Gabon,2016,2.19165,2.19165
612,Gabon,2017,,2.176776
613,Gabon,2018,2.161902,2.161902
614,Gabon,2019,,2.2095216
615,Gabon,2020,,2.2571412
616,Gabon,2021,,2.3047608
617,Gabon,2022,,2.3523804
618,Gabon,2023,2.4,2.4
619,Gabon,2024,,2.4
620,Gambia,2015,,
621,Gambia,2016,,
622,Gambia,2017,,
623,Gambia,2018,,
624,Gambia,2019,,
625,Gambia,2020,,
626,Gambia,2021,,
627,Gambia,2022,,
628,Gambia,2023,,
629,Gambia,2024,,
630,"Gambia, The",2015,,2.401189
631,"Gambia, The",2016,,2.401189
632,"Gambia, The",2017,,2.401189
633,"Gambia, The",2018,2.401189,2.401189
634,"Gambia, The",2019,,2.3809512
635,"Gambia, The",2020,,2.3607134
636,"Gambia, The",2021,,2.3404756
637,"Gambia, The",2022,,2.3202378
638,"Gambia, The",2023,2.3,2.3
639,"Gambia, The",2024,,2.3
640,Georgia,2015,,2.353013
641,Georgia,2016,2.353013,2.353013
642,Georgia,2017,,2.3979185
643,Georgia,2018,2.442824,2.442824
644,Georgia,2019,,2.4942592
645,Georgia,2020,,2.5456944
646,Georgia,2021,,2.5971296
647,Georgia,2022,,2.6485648
648,Georgia,2023,2.7,2.7
649,Georgia,2024,,2.7
650,Germany,2015,,4.225967
651,Germany,2016,4.225967,4.225967
652,Germany,2017,,4.2137055
653,Germany,2018,4.201444,4.201444
654,Germany,2019,,4.1811552
655,Germany,2020,,4.1608664
656,Germany,2021,,4.1405776
657,Germany,2022,,4.1202888
658,Germany,2023,4.1,4.1
659,Germany,2024,,4.1
660,Ghana,2015,,2.660931
661,Ghana,2016,2.660931,2.660931
662,Ghana,2017,,2.6131395
663,Ghana,2018,2.565348,2.565348
664,Ghana,2019,,2.5522784
665,Ghana,2020,,2.5392088
666,Ghana,2021,,2.5261392
667,Ghana,2022,,2.5130696
668,Ghana,2023,2.5,2.5
669,Ghana,2024,,2.5
670,Greece,2015,,3.239516
671,Greece,2016,3.239516,3.239516
672,Greece,2017,,3.2220385
673,Greece,2018,3.204561,3.204561
674,Greece,2019,,3.3036488
675,Greece,2020,,3.4027366
676,Greece,2021,,3.5018244
677,Greece,2022,,3.6009122
678,Greece,2023,3.7,3.7
